Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy Points,Position Rank
374,Charlie Jones,CIN,WR,25,11,0,0,0,0,0,0,2,13,6.5,9,7,64,9.14,0,0,1,20.7,153
375,Terrace Marshall Jr.,CAR,WR,23,9,4,0,0,0,0,0,0,0,,33,19,139,7.32,1,0,0,32.9,151
376,Byron Pringle,WAS,WR,30,17,1,0,0,0,0,0,0,0,,22,14,161,11.5,1,1,0,28.1,149
377,Ben Skowronek,LAR,WR,26,17,0,0,0,0,0,0,2,9,4.5,12,8,66,8.25,0,0,1,21.5,154
378,Tyquan Thornton,NWE,WR,23,9,3,0,0,0,0,0,3,51,17,23,13,91,7,0,0,0,27.2,148
379,Jordan Akins,CLE,TE,31,17,4,0,0,0,0,0,0,0,,23,15,132,8.8,0,0,0,28.2,72
380,Isaiah Spiller,LAC,RB,22,9,0,0,0,0,0,0,37,96,2.59,6,6,34,5.67,0,0,0,19,94
381,Stephen Sullivan,CAR,TE,27,11,0,0,0,0,0,0,0,0,,24,12,125,10.42,0,0,0,24.5,73
382,Lynn Bowden Jr.,NOR,WR,26,15,3,0,0,0,0,0,5,32,6.4,16,11,83,7.55,1,0,0,22.5,158
383,Jason Brownlee,NYJ,WR,24,7,5,0,0,0,0,0,0,0,,8,5,56,11.2,0,0,1,16.6,156
384,Randall Cobb,NYJ,WR,33,11,1,0,0,0,0,0,0,0,,17,5,39,7.8,0,0,1,16.9,155
385,Tyler Goodson,IND,RB,23,6,1,0,0,0,0,0,13,87,6.69,9,6,34,5.67,0,0,0,18.1,95
386,Alec Ingold*,MIA,FB,27,17,13,0,0,0,0,0,2,0,0,16,13,119,9.15,0,0,0,24.9,96
387,Marcus Mariota,PHI,QB,30,3,0,15,23,164,1,1,8,52,6.5,0,0,0,,1,1,0,11.8,62
388,D.J. Montgomery,IND,WR,27,7,0,0,0,0,0,0,0,0,,8,3,56,18.67,0,0,1,14.6,157
389,Boston Scott,PHI,RB,28,15,0,0,0,0,0,0,20,86,4.3,6,4,52,13,1,1,0,15.8,97
390,Laviska Shenault Jr.,CAR,WR,25,8,0,0,0,0,0,0,12,55,4.58,10,10,60,6,1,0,0,21.5,159
391,Cole Turner,WAS,TE,23,12,1,0,0,0,0,0,0,0,,15,11,120,10.91,0,0,0,23,74
392,C.J. Uzomah,NYJ,TE,30,12,8,0,0,0,0,0,0,0,,12,8,58,7.25,0,0,1,19.8,75
393,Jameis Winston,NOR,QB,29,7,0,25,47,264,2,3,5,-6,-1.2,0,0,0,,0,0,0,12,61
394,Raheem Blackshear,CAR,RB,24,12,0,0,0,0,0,0,14,46,3.29,7,6,45,7.5,0,0,0,17.1,99
395,Brandon Bolden,LVR,RB,33,17,0,0,0,0,0,0,4,31,7.75,0,0,0,,0,0,1,11.1,100
396,Tim Boyle,NYJ,QB,29,3,2,48,77,360,1,4,4,5,1.25,0,0,0,,2,0,0,10.9,63
397,Chris Brooks,MIA,RB,23,9,0,0,0,0,0,0,19,106,5.58,0,0,0,,0,0,0,10.6,103
398,Mecole Hardman,2TM,WR,25,11,2,0,0,0,0,0,1,3,3,24,15,124,8.27,1,1,0,25.7,160
399,La'Mical Perine,KAN,RB,25,3,1,0,0,0,0,0,22,77,3.5,5,3,33,11,0,0,0,14,101
400,Patrick Ricard,BAL,FB,29,17,9,0,0,0,0,0,0,0,,7,5,52,10.4,0,0,1,16.2,98
401,Robert Tonyan,CHI,TE,29,17,6,0,0,0,0,0,0,0,,17,11,112,10.18,0,0,0,22.2,76
402,Emanuel Wilson,GNB,RB,24,7,0,0,0,0,0,0,14,85,6.07,5,4,23,5.75,1,0,0,14.8,102
403,Lawrence Cager,NYG,TE,26,11,0,0,0,0,0,0,0,0,,5,4,36,9,0,0,1,13.6,77
404,Parris Campbell,NYG,WR,26,12,3,0,0,0,0,0,0,0,,27,20,104,5.2,0,0,0,30.4,161
405,J.K. Dobbins,BAL,RB,25,1,1,0,0,0,0,0,8,22,2.75,3,2,15,7.5,0,0,1,11.7,105
406,Marquise Goodwin,CLE,WR,33,12,0,0,0,0,0,0,4,33,8.25,13,4,67,16.75,0,0,0,14,163
407,Keaontay Ingram,ARI,RB,24,8,1,0,0,0,0,0,35,74,2.11,4,4,26,6.5,0,0,0,14,104
408,Case Keenum,HOU,QB,35,2,2,34,53,291,1,3,2,1,0.5,0,0,0,,1,0,0,9.7,64
409,Keith Kirkwood,NOR,WR,29,13,4,0,0,0,0,0,0,0,,9,5,37,7.4,0,0,1,14.7,164
410,Hunter Luepke,DAL,RB,23,17,0,0,0,0,0,0,6,19,3.17,4,3,18,6,0,0,1,12.7,106
411,Sterling Shepard,NYG,WR,30,15,2,0,0,0,0,0,1,6,6,22,10,57,5.7,1,1,1,20.3,162
412,Brenton Strange,JAX,TE,23,14,4,0,0,0,0,0,0,0,,9,5,35,7,0,0,1,14.5,78
413,Israel Abanikanda,NYJ,RB,21,6,0,0,0,0,0,0,22,70,3.18,11,7,43,6.14,1,1,0,16.3,107
