Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy PPR Points,Position Rank
279,Adonai Mitchell,IND,WR,22,17,7,1,1,24,0,0,4,6,1.5,55,23,312,13.57,2,1,0,53.8,114
280,Chris Rodriguez,WAS,RB,24,9,0,0,0,0,0,0,35,173,4.94,1,1,12,12,0,0,2,31.5,75
281,Adam Trautman,DEN,TE,27,17,14,0,0,0,0,0,0,0,,22,13,188,14.46,0,0,2,43.8,45
282,DJ Turner,LVR,WR,27,12,6,0,0,0,0,0,5,33,6.6,29,16,158,9.88,1,0,2,47.1,113
283,Jordan Whittington,LAR,WR,24,15,3,0,0,0,0,0,2,12,6,28,22,293,13.32,0,0,0,52.5,115
284,Nate Adkins,DEN,TE,25,17,10,0,0,0,0,0,0,0,,15,14,115,8.21,0,0,3,43.5,47
285,Hassan Haskins,LAC,RB,25,17,0,0,0,0,0,0,34,89,2.62,3,3,49,16.33,1,1,3,32.8,76
286,Luke Schoonmaker,DAL,TE,26,17,6,0,0,0,0,0,0,0,,36,27,241,8.93,0,0,1,57.1,46
287,Cedrick Wilson Jr.,NOR,WR,29,15,4,1,1,21,1,0,0,0,,27,20,211,10.55,1,1,1,49.9,116
288,Elijah Higgins,ARI,TE,24,17,6,0,0,0,0,0,0,0,,24,20,172,8.6,0,0,2,49.2,48
289,Tanner McKee,PHI,QB,24,2,1,30,45,323,4,0,5,-1,-0.2,0,0,0,,0,0,0,28.8,49
290,Malik Washington,MIA,WR,23,14,3,0,0,0,0,0,5,25,5,36,26,223,8.58,1,1,1,54.8,117
291,Kimani Vidal,LAC,RB,23,10,0,0,0,0,0,0,43,155,3.6,9,5,62,12.4,1,0,1,32.7,78
292,Jamaal Williams,NOR,RB,29,14,1,0,0,0,0,0,48,164,3.42,11,9,57,6.33,0,0,1,37.1,77
293,Blake Corum,LAR,RB,24,17,1,0,0,0,0,0,58,207,3.57,8,7,58,8.29,0,0,0,33.5,81
294,Derius Davis,LAC,WR,24,15,2,0,0,0,0,0,12,39,3.25,17,13,112,8.62,3,0,2,40.1,118
295,D'Onta Foreman,CLE,RB,28,11,3,0,0,0,0,0,71,232,3.27,8,6,54,9,2,1,0,32.6,80
296,Patrick Taylor,SFO,RB,26,13,1,0,0,0,0,0,39,183,4.69,11,3,25,8.33,0,0,1,29.8,79
297,Johnny Mundt,MIN,TE,30,17,3,0,0,0,0,0,0,0,,27,19,142,7.47,0,0,2,45.2,49
298,Cordarrelle Patterson,PIT,RB,33,13,1,0,0,0,0,0,32,135,4.22,14,12,80,6.67,1,1,1,37.5,82
299,Darnell Washington,PIT,TE,23,17,9,0,0,0,0,0,0,0,,25,19,200,10.53,0,0,1,45,50
300,Michael Carter,ARI,RB,25,3,1,0,0,0,0,0,35,131,3.74,11,11,57,5.18,0,0,1,35.8,83
301,KhaDarel Hodge*,ATL,WR,29,17,2,0,0,0,0,0,0,0,,12,7,131,18.71,0,0,2,32.1,121
302,Ryan Miller,TAM,WR,24,11,3,0,0,0,0,0,0,0,,20,12,128,10.67,0,0,2,36.8,122
303,Kenny Pickett,PHI,QB,26,5,1,25,42,291,2,1,9,15,1.67,0,0,0,,1,0,1,25.1,50
304,Josh Reynolds,2TM,WR,29,9,2,0,0,0,0,0,0,0,,24,13,194,14.92,0,0,1,38.4,119
305,Tylan Wallace,BAL,WR,25,17,0,0,0,0,0,0,0,0,,12,11,193,17.55,1,0,1,36.3,120
306,Jalen Brooks,DAL,WR,24,14,1,0,0,0,0,0,0,0,,30,12,177,14.75,0,0,1,35.7,123
307,Payne Durham,TAM,TE,24,16,6,0,0,0,0,0,0,0,,14,11,115,10.45,1,0,2,34.5,51
308,D'Ernest Johnson,JAX,RB,28,14,1,0,0,0,0,0,32,143,4.47,19,12,96,8,0,0,0,35.9,85
309,Kendre Miller,NOR,RB,22,6,2,0,0,0,0,0,39,148,3.79,8,5,33,6.6,0,0,1,29.1,84
310,Jaylen Wright,MIA,RB,21,15,1,0,0,0,0,0,68,249,3.66,6,3,8,2.67,1,1,0,26.7,86
311,Jahan Dotson,PHI,WR,24,17,6,0,0,0,0,0,1,13,13,33,19,216,11.37,0,0,0,41.9,125
312,Trey Palmer,TAM,WR,23,15,3,0,0,0,0,0,0,0,,22,12,172,14.33,1,0,1,35.2,124
313,Zamir White,LVR,RB,25,8,5,0,0,0,0,0,65,183,2.82,8,6,30,5,2,2,1,29.3,87
314,Ty Chandler,MIN,RB,26,17,0,0,0,0,0,0,56,182,3.25,6,6,42,7,0,0,0,28.4,88
